Bios Serial Number	User	Name	Os Name	Asset Notes	Last Inventory	Cs Manufacturer	Cs Model	Last User	Warranty Start	Warranty End	Assigned To	Function	Floor	Room
MJ762CE	awaye	QST-WD-0044	Microsoft Windows 7 Professional x64	636 A	12/18/2015 6:46	LENOVO	36901K3	AD\hsk29	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636 A
FQZZQF1	smgfedws	SMG520F-1	Microsoft Windows 7 Professional	520 F	10/1/2016 18:29	Dell Inc.	OptiPlex 755	AD\smgfedws	2/27/2009 0:00	2/27/2013 0:00	jmcgill	Shared		520 F
1807PC1	jovied	SMG630A-3	Microsoft Windows 8.1 Pro		9/22/2015 14:59	Dell Inc.	OptiPlex 745	AD\mlynd	3/14/2008 0:00	3/15/2011 0:00	firefox	Secondary		
2UA0350JM5	guinther	SMG638A-4	Microsoft Windows 7 Professional		4/23/2016 10:12	Hewlett-Packard	HP Z200 Workstation	AD\guinther	12/21/2010 0:00	1/24/2016 0:00	jovied	Primary		
8J9KLF1	ren	SMG655-4	Microsoft Windows 7 Professional	655	2/11/2016 0:19	Dell Inc.	OptiPlex 755	AD\ren	2/7/2009 0:00	2/7/2013 0:00	ren	Secondary		655
MJ761YL	qstcloud	SMG630A-2	Microsoft Windows 7 Professional x64	328	10/1/2016 19:17	LENOVO	36901K3	AD\qstcloud	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Computer Lab		328
2UA1191C57	jhibbard	QST-WD-0238	Microsoft Windows 7 Professional x64	Room 602	10/1/2016 18:01	Hewlett-Packard	HP Z200 Workstation	AD\jhibbard	5/13/2011 0:00	6/16/2016 0:00	jhibbard	Primary		Room 602
C02KGP61DNCV	mbda	SMG504GMAC-1	Mac macOS 10.12 (x86_64)	504G	10/1/2016 16:22	"Apple, Inc."	"iMac13,2"		6/28/2013 0:00	6/27/2016 0:00	mbda	Primary		504G
2UA8291Q2V	mdmeng	SMG664-4	Microsoft Windows 7 Professional	644	8/18/2016 16:20	Hewlett-Packard	HP xw4600 Workstation	AD\mdmeng	7/23/2008 0:00	8/26/2013 0:00	bickart	Shared		644
2UA8500SXP	mva	SMG649	Microsoft Windows 7 Professional		10/1/2016 18:11	Hewlett-Packard	HP xw4600 Workstation	AD\mva	12/12/2008 0:00	1/5/2014 0:00	mva	Primary		
