Bios Serial Number	User	Name	Os Name	Asset Notes	Last Inventory	Cs Manufacturer	Cs Model	Last User	Warranty Start	Warranty End	Assigned To	Function	Floor	Room
MJ45F6C	davidr	SMG644-1	Microsoft Windows 7 Enterprise x64		5/19/2016 1:49	LENOVO	3212BJ7	AD\davidr	8/1/2013 0:00	7/21/2017 0:00	davidr	Primary		
MJ761ZW	nahar93	QST-WD-0046	Microsoft Windows 7 Professional x64	636 A	12/18/2015 6:37	LENOVO	36901K3	AD\htran93	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636 A
C02KMGBTDNCR	istds-admin	qst-md-0100	Mac OS X 10.11.4 (x86_64)	342	4/29/2016 16:23	"Apple, Inc."	"iMac13,1"		6/14/2013 0:00	6/13/2016 0:00	tturrisi	Primary		342
MJBBTPP	smgelcws	SMG416E-1	Microsoft Windows 7 Professional x64	416 E	6/18/2015 9:06	LENOVO	4524A61	AD\smgelcws	8/25/2011 0:00	8/24/2015 0:00	dwebb	Shared		416 E
MJZRBCV	gdefronz	SMG636A-1	Microsoft Windows 7 Enterprise x64		4/14/2016 2:19	LENOVO	3212BJ7	AD\gdefronz	1/21/2013 0:00	1/11/2017 0:00	gdefronz	Primary		
D25FN0V1DHJV	kkchang	SMG637MAC-1	Mac OS X 10.7.5 (x86_64)		5/28/2016 18:56	"Apple, Inc."	"iMac12,2"		5/6/2011 0:00	5/5/2014 0:00	kkchang	Primary		
MJ762AM	mlynd	QST-WD-0333	Microsoft Windows 7 Enterprise x64	636A	4/14/2016 20:09	LENOVO	36901K3	AD\mlynd	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
2UA0461C0S	smgelcws	SMG416S-2	Microsoft Windows 7 Professional	342	6/5/2015 9:38	Hewlett-Packard	HP Z200 Workstation	AD\smgelcws	11/22/2010 0:00	1/20/2016 0:00	dwebb	Reserve		342
2UA8300Z24	sechrest	QST-WD-0241	Microsoft Windows 7 Professional	343 A	7/24/2015 1:12	Hewlett-Packard	HP xw4600 Workstation	AD\sechrest	7/27/2008 0:00	8/2/2014 0:00	nelee	Shared		343 A
MJ761YG	nmendoza	QST-WD-0042	Microsoft Windows 7 Professional x64	636 A	12/18/2015 6:46	LENOVO	36901K3	AD\jakemlee	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636 A
2UA8291Q4F	drewq	SMG662-3	Microsoft Windows 7 Professional		5/28/2016 19:17	Hewlett-Packard	HP xw4600 Workstation	AD\drewq	7/23/2008 0:00	8/26/2013 0:00	drewq	Primary		
MJ762BY	kbdoran	QST-WD-0062	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:20	LENOVO	36901K3	AD\rbazaz	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ762BG	Administrator	QST-WD-0343	Microsoft Windows 10 Enterprise x64	340	5/24/2016 18:03	LENOVO	36901K3	.\Administrator	5/26/2013 0:00	5/15/2017 0:00	cbarrett	shared		340
MJ3849F	istds-admin	SMG607	Microsoft Windows 7 Enterprise x64		5/9/2016 12:17	LENOVO	3212BJ7	SMG607\istds-admin	2/16/2013 0:00	2/6/2017 0:00	pekoz	Primary		
MJXAAR9	jhorwitt	53BSR107	Microsoft Windows 7 Professional x64	107	5/27/2016 15:08	LENOVO	4524A61	AD\jhorwitt	6/16/2011 0:00	6/15/2015 0:00	jhorwitt	Primary		107
MJ761YP	jzenkic	QST-WD-0040	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:37	LENOVO	36901K3	AD\ashah721	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ761ZZ	quangle	QST-WD-0061	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:46	LENOVO	36901K3	AD\quangle	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJAPNMM	smgblab	QST-BSR-WD-0016	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	5/26/2016 5:24	LENOVO	5032A47	AD\smgblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJ761YE	gacusick	QST-WD-0041	Microsoft Windows 7 Professional x64	636 A	12/18/2015 6:28	LENOVO	36901K3	AD\amathew	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636 A
2UA0390VFN	rprieto	SMG566	Microsoft Windows 7 Professional x64		5/28/2016 18:43	Hewlett-Packard	HP Z200 Workstation	AD\rprieto	10/1/2014 0:00	9/30/2013 0:00	rprieto	Primary		
MJ02KCN	cbarrett	SMG333A-1	Microsoft Windows 7 Professional x64		5/28/2016 18:44	LENOVO	36901K3	AD\cbarrett	11/10/2013 0:00	10/30/2017 0:00	cbarrett	Primary		
MJ762CF	mcchu	QST-WD-0058	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:13	LENOVO	36901K3	AD\seanhays	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
2UA8500SXZ	firefox-adm	SMG630A-2	Microsoft Windows 7 Professional x64		9/9/2015 12:43	Hewlett-Packard	HP xw4600 Workstation	AD\firefox-adm	12/12/2008 0:00	1/5/2014 0:00	firefox	Secondary		
MJAPNMR	smgblab	QST-BSR-WD-0010	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	5/26/2016 5:11	LENOVO	5032A47	AD\smgblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJAHCAK	jkissh	SMG629-3	Microsoft Windows 10 Enterprise x64		12/18/2015 14:48	LENOVO	4158VG3	AD\jkissh	8/13/2011 0:00	8/12/2015 0:00	jkissh	Primary		
MJ49E1V	salinger	QST-WD-0305	Microsoft Windows 7 Enterprise x64		5/28/2016 19:25	LENOVO	3212BJ7	AD\salinger	8/3/2013 0:00	7/23/2017 0:00	salinger	Primary		
MJ762CP	burgener	QST-WD-0056	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:36	LENOVO	36901K3	AD\dkoswick	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ762BE	oodemwin	QST-WD-0068	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:28	LENOVO	36901K3	AD\bferrari	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ08Z97	ali1	QST-WD-0219	Microsoft Windows 7 Enterprise x64	342	3/22/2016 9:03	LENOVO	3212BJ7	AD\ali1	6/9/2013 0:00	5/29/2017 0:00	gdefronz	Reserve		342
MJ761ZY	himi64	QST-WD-0043	Microsoft Windows 7 Professional x64	636 A	12/18/2015 6:13	LENOVO	36901K3	AD\himi64	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636 A
MJWZXE1	smgitsse	QST-WD-0206	Microsoft Windows 7 Enterprise x64	644A	5/28/2016 18:50	LENOVO	4524A61	QST-WD-0206\istds-admin	6/16/2011 0:00	6/15/2015 0:00	fcharvet	Primary		644A
MJ762CK	paultsch	QST-WD-0306	Microsoft Windows 7 Enterprise x64	543	1/15/2016 14:37	LENOVO	36901K3	AD\paultsch	5/26/2013 0:00	5/15/2017 0:00	camphil	Shared		543
MJ761ZN	mdc	QST-WD-0025	Microsoft Windows 7 Professional x64	636A	7/20/2015 11:34	LENOVO	36901K3	AD\mdc	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJ762BC	efk	QST-WD-0318	Microsoft Windows 7 Enterprise x64	629	3/18/2016 10:30	LENOVO	36901K3	AD\efk	5/26/2013 0:00	5/15/2017 0:00	efk	Secondary		629
MJ761ZM	questromuser	QST-WD-0182	Microsoft Windows 10 Enterprise x64	340E	5/25/2016 10:51	LENOVO	36901K3	AD\questromuser	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Shared		340E
MJ762CH	phung1	QST-WD-0055	Microsoft Windows 7 Professional x64	636A	12/18/2015 6:19	LENOVO	36901K3	AD\phung1	5/26/2013 0:00	5/15/2017 0:00	gdefronz	Reserve		636A
MJAPNMT	smgblab	QST-BSR-WD-0012	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	4/4/2016 0:40	LENOVO	5032A47	AD\smgblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
MJAPNMY	smgblab	QST-BSR-WD-0002	Microsoft Windows 7 Professional x64	143 Bay  State Road - Basement	5/26/2016 5:25	LENOVO	5032A47	AD\smgblab	8/17/2011 0:00	8/16/2015 0:00	gdefronz	Computer Lab		143 Bay  State Road - Basement
2UA8291Q1Z	smgarws	QST-WD-0235	Microsoft Windows 7 Professional	Room 504	5/28/2016 19:17	Hewlett-Packard	HP xw4600 Workstation	AD\smgarws	7/23/2008 0:00	8/26/2013 0:00	mbda	Shared		Room 504
